suite,shape,relations,variant,selected_algorithm,query_id,repetition,operations,duration_ns,candidate_operators,connected_subgraphs,dp_states_created,repaired_subproblems
adaptive_topologies,clique,70,adaptive,linearized_dp,0,2,1,2169408625,59570,,2485,0
relation_set,mixed_set_ops,32,borrowed_union,Inline64,0,0,20000,154500,0,,0,0
relation_set,mixed_set_ops,32,allocating_assign,Inline64,0,0,20000,131500,0,,0,0
relation_set,mixed_set_ops,32,in_place_assign,Inline64,0,0,20000,108834,0,,0,0
relation_set,mixed_set_ops,32,borrowed_union,Inline64,0,1,20000,154166,0,,0,0
relation_set,mixed_set_ops,32,allocating_assign,Inline64,0,1,20000,131334,0,,0,0
relation_set,mixed_set_ops,32,in_place_assign,Inline64,0,1,20000,108500,0,,0,0
relation_set,mixed_set_ops,32,borrowed_union,Inline64,0,2,20000,154167,0,,0,0
relation_set,mixed_set_ops,32,allocating_assign,Inline64,0,2,20000,131458,0,,0,0
relation_set,mixed_set_ops,32,in_place_assign,Inline64,0,2,20000,108458,0,,0,0
relation_set,mixed_set_ops,32,borrowed_union,Inline64,0,3,20000,154083,0,,0,0
relation_set,mixed_set_ops,32,allocating_assign,Inline64,0,3,20000,131333,0,,0,0
relation_set,mixed_set_ops,32,in_place_assign,Inline64,0,3,20000,108458,0,,0,0
relation_set,mixed_set_ops,32,borrowed_union,Inline64,0,4,20000,154125,0,,0,0
relation_set,mixed_set_ops,32,allocating_assign,Inline64,0,4,20000,131291,0,,0,0
relation_set,mixed_set_ops,32,in_place_assign,Inline64,0,4,20000,108500,0,,0,0
relation_set,set_build,32,incremental_with,Inline64,0,0,500,35583,0,,0,0
relation_set,set_build,32,from_iter,Inline64,0,0,500,36208,0,,0,0
relation_set,set_build,32,incremental_with,Inline64,0,1,500,35167,0,,0,0
relation_set,set_build,32,from_iter,Inline64,0,1,500,35667,0,,0,0
relation_set,set_build,32,incremental_with,Inline64,0,2,500,35208,0,,0,0
relation_set,set_build,32,from_iter,Inline64,0,2,500,35500,0,,0,0
relation_set,set_build,32,incremental_with,Inline64,0,3,500,35375,0,,0,0
relation_set,set_build,32,from_iter,Inline64,0,3,500,35542,0,,0,0
relation_set,set_build,32,incremental_with,Inline64,0,4,500,35250,0,,0,0
relation_set,set_build,32,from_iter,Inline64,0,4,500,35542,0,,0,0
relation_set,mixed_set_ops,63,borrowed_union,Inline64,0,0,20000,154125,0,,0,0
relation_set,mixed_set_ops,63,allocating_assign,Inline64,0,0,20000,131292,0,,0,0
relation_set,mixed_set_ops,63,in_place_assign,Inline64,0,0,20000,108458,0,,0,0
relation_set,mixed_set_ops,63,borrowed_union,Inline64,0,1,20000,154125,0,,0,0
relation_set,mixed_set_ops,63,allocating_assign,Inline64,0,1,20000,131291,0,,0,0
relation_set,mixed_set_ops,63,in_place_assign,Inline64,0,1,20000,108834,0,,0,0
relation_set,mixed_set_ops,63,borrowed_union,Inline64,0,2,20000,154750,0,,0,0
relation_set,mixed_set_ops,63,allocating_assign,Inline64,0,2,20000,131542,0,,0,0
relation_set,mixed_set_ops,63,in_place_assign,Inline64,0,2,20000,108667,0,,0,0
relation_set,mixed_set_ops,63,borrowed_union,Inline64,0,3,20000,154375,0,,0,0
relation_set,mixed_set_ops,63,allocating_assign,Inline64,0,3,20000,131833,0,,0,0
relation_set,mixed_set_ops,63,in_place_assign,Inline64,0,3,20000,108750,0,,0,0
relation_set,mixed_set_ops,63,borrowed_union,Inline64,0,4,20000,154458,0,,0,0
relation_set,mixed_set_ops,63,allocating_assign,Inline64,0,4,20000,131333,0,,0,0
relation_set,mixed_set_ops,63,in_place_assign,Inline64,0,4,20000,108458,0,,0,0
relation_set,set_build,63,incremental_with,Inline64,0,0,500,76917,0,,0,0
relation_set,set_build,63,from_iter,Inline64,0,0,500,52125,0,,0,0
relation_set,set_build,63,incremental_with,Inline64,0,1,500,79250,0,,0,0
relation_set,set_build,63,from_iter,Inline64,0,1,500,52875,0,,0,0
relation_set,set_build,63,incremental_with,Inline64,0,2,500,79417,0,,0,0
relation_set,set_build,63,from_iter,Inline64,0,2,500,52833,0,,0,0
relation_set,set_build,63,incremental_with,Inline64,0,3,500,79833,0,,0,0
relation_set,set_build,63,from_iter,Inline64,0,3,500,52458,0,,0,0
relation_set,set_build,63,incremental_with,Inline64,0,4,500,79416,0,,0,0
relation_set,set_build,63,from_iter,Inline64,0,4,500,52625,0,,0,0
relation_set,mixed_set_ops,64,borrowed_union,Inline64,0,0,20000,159209,0,,0,0
relation_set,mixed_set_ops,64,allocating_assign,Inline64,0,0,20000,135166,0,,0,0
relation_set,mixed_set_ops,64,in_place_assign,Inline64,0,0,20000,111709,0,,0,0
relation_set,mixed_set_ops,64,borrowed_union,Inline64,0,1,20000,159375,0,,0,0
relation_set,mixed_set_ops,64,allocating_assign,Inline64,0,1,20000,135042,0,,0,0
relation_set,mixed_set_ops,64,in_place_assign,Inline64,0,1,20000,118791,0,,0,0
relation_set,mixed_set_ops,64,borrowed_union,Inline64,0,2,20000,159250,0,,0,0
relation_set,mixed_set_ops,64,allocating_assign,Inline64,0,2,20000,135375,0,,0,0
relation_set,mixed_set_ops,64,in_place_assign,Inline64,0,2,20000,111625,0,,0,0
relation_set,mixed_set_ops,64,borrowed_union,Inline64,0,3,20000,158500,0,,0,0
relation_set,mixed_set_ops,64,allocating_assign,Inline64,0,3,20000,135041,0,,0,0
relation_set,mixed_set_ops,64,in_place_assign,Inline64,0,3,20000,111666,0,,0,0
relation_set,mixed_set_ops,64,borrowed_union,Inline64,0,4,20000,158458,0,,0,0
relation_set,mixed_set_ops,64,allocating_assign,Inline64,0,4,20000,135125,0,,0,0
relation_set,mixed_set_ops,64,in_place_assign,Inline64,0,4,20000,111542,0,,0,0
relation_set,set_build,64,incremental_with,Inline64,0,0,500,79625,0,,0,0
relation_set,set_build,64,from_iter,Inline64,0,0,500,53375,0,,0,0
relation_set,set_build,64,incremental_with,Inline64,0,1,500,80333,0,,0,0
relation_set,set_build,64,from_iter,Inline64,0,1,500,53167,0,,0,0
relation_set,set_build,64,incremental_with,Inline64,0,2,500,79208,0,,0,0
relation_set,set_build,64,from_iter,Inline64,0,2,500,53125,0,,0,0
relation_set,set_build,64,incremental_with,Inline64,0,3,500,79375,0,,0,0
relation_set,set_build,64,from_iter,Inline64,0,3,500,53417,0,,0,0
relation_set,set_build,64,incremental_with,Inline64,0,4,500,79083,0,,0,0
relation_set,set_build,64,from_iter,Inline64,0,4,500,52875,0,,0,0
relation_set,mixed_set_ops,65,borrowed_union,Inline128,0,0,20000,172292,0,,0,0
relation_set,mixed_set_ops,65,allocating_assign,Inline128,0,0,20000,158667,0,,0,0
relation_set,mixed_set_ops,65,in_place_assign,Inline128,0,0,20000,129250,0,,0,0
relation_set,mixed_set_ops,65,borrowed_union,Inline128,0,1,20000,170416,0,,0,0
relation_set,mixed_set_ops,65,allocating_assign,Inline128,0,1,20000,158834,0,,0,0
relation_set,mixed_set_ops,65,in_place_assign,Inline128,0,1,20000,129750,0,,0,0
relation_set,mixed_set_ops,65,borrowed_union,Inline128,0,2,20000,170458,0,,0,0
relation_set,mixed_set_ops,65,allocating_assign,Inline128,0,2,20000,159000,0,,0,0
relation_set,mixed_set_ops,65,in_place_assign,Inline128,0,2,20000,129250,0,,0,0
relation_set,mixed_set_ops,65,borrowed_union,Inline128,0,3,20000,181000,0,,0,0
relation_set,mixed_set_ops,65,allocating_assign,Inline128,0,3,20000,158917,0,,0,0
relation_set,mixed_set_ops,65,in_place_assign,Inline128,0,3,20000,129167,0,,0,0
relation_set,mixed_set_ops,65,borrowed_union,Inline128,0,4,20000,170208,0,,0,0
relation_set,mixed_set_ops,65,allocating_assign,Inline128,0,4,20000,158584,0,,0,0
relation_set,mixed_set_ops,65,in_place_assign,Inline128,0,4,20000,129625,0,,0,0
relation_set,set_build,65,incremental_with,Inline128,0,0,500,83541,0,,0,0
relation_set,set_build,65,from_iter,Inline128,0,0,500,55208,0,,0,0
relation_set,set_build,65,incremental_with,Inline128,0,1,500,82833,0,,0,0
relation_set,set_build,65,from_iter,Inline128,0,1,500,55041,0,,0,0
relation_set,set_build,65,incremental_with,Inline128,0,2,500,82750,0,,0,0
relation_set,set_build,65,from_iter,Inline128,0,2,500,55208,0,,0,0
relation_set,set_build,65,incremental_with,Inline128,0,3,500,83208,0,,0,0
relation_set,set_build,65,from_iter,Inline128,0,3,500,55459,0,,0,0
relation_set,set_build,65,incremental_with,Inline128,0,4,500,82792,0,,0,0
relation_set,set_build,65,from_iter,Inline128,0,4,500,54791,0,,0,0
relation_set,mixed_set_ops,127,borrowed_union,Inline128,0,0,20000,164958,0,,0,0
relation_set,mixed_set_ops,127,allocating_assign,Inline128,0,0,20000,158792,0,,0,0
relation_set,mixed_set_ops,127,in_place_assign,Inline128,0,0,20000,123583,0,,0,0
relation_set,mixed_set_ops,127,borrowed_union,Inline128,0,1,20000,164375,0,,0,0
relation_set,mixed_set_ops,127,allocating_assign,Inline128,0,1,20000,158542,0,,0,0
relation_set,mixed_set_ops,127,in_place_assign,Inline128,0,1,20000,123375,0,,0,0
relation_set,mixed_set_ops,127,borrowed_union,Inline128,0,2,20000,164458,0,,0,0
relation_set,mixed_set_ops,127,allocating_assign,Inline128,0,2,20000,158584,0,,0,0
relation_set,mixed_set_ops,127,in_place_assign,Inline128,0,2,20000,123625,0,,0,0
relation_set,mixed_set_ops,127,borrowed_union,Inline128,0,3,20000,165292,0,,0,0
relation_set,mixed_set_ops,127,allocating_assign,Inline128,0,3,20000,158750,0,,0,0
relation_set,mixed_set_ops,127,in_place_assign,Inline128,0,3,20000,123666,0,,0,0
relation_set,mixed_set_ops,127,borrowed_union,Inline128,0,4,20000,165209,0,,0,0
relation_set,mixed_set_ops,127,allocating_assign,Inline128,0,4,20000,158875,0,,0,0
relation_set,mixed_set_ops,127,in_place_assign,Inline128,0,4,20000,123250,0,,0,0
relation_set,set_build,127,incremental_with,Inline128,0,0,500,173000,0,,0,0
relation_set,set_build,127,from_iter,Inline128,0,0,500,89125,0,,0,0
relation_set,set_build,127,incremental_with,Inline128,0,1,500,173458,0,,0,0
relation_set,set_build,127,from_iter,Inline128,0,1,500,89291,0,,0,0
relation_set,set_build,127,incremental_with,Inline128,0,2,500,173791,0,,0,0
relation_set,set_build,127,from_iter,Inline128,0,2,500,88959,0,,0,0
relation_set,set_build,127,incremental_with,Inline128,0,3,500,173333,0,,0,0
