suite,shape,relations,variant,selected_algorithm,query_id,repetition,operations,duration_ns,candidate_operators
random_tree_algorithms,random_tree,10,dphyp,DpHyp,5,0,1,203666,417
random_tree_algorithms,random_tree,10,dphyp,DpHyp,6,0,1,303209,654
random_tree_algorithms,random_tree,10,dphyp,DpHyp,7,0,1,179166,345
random_tree_algorithms,random_tree,10,dphyp,DpHyp,8,0,1,394833,869
random_tree_algorithms,random_tree,10,dphyp,DpHyp,9,0,1,177083,293
random_tree_algorithms,random_tree,12,dphyp,DpHyp,0,0,1,732666,1440
random_tree_algorithms,random_tree,12,dphyp,DpHyp,1,0,1,1555375,3617
random_tree_algorithms,random_tree,12,dphyp,DpHyp,2,0,1,239458,490
random_tree_algorithms,random_tree,12,dphyp,DpHyp,3,0,1,733083,1712
random_tree_algorithms,random_tree,12,dphyp,DpHyp,4,0,1,607833,1354
random_tree_algorithms,random_tree,12,dphyp,DpHyp,5,0,1,492625,1006
random_tree_algorithms,random_tree,12,dphyp,DpHyp,6,0,1,727833,1498
random_tree_algorithms,random_tree,12,dphyp,DpHyp,7,0,1,441209,874
random_tree_algorithms,random_tree,12,dphyp,DpHyp,8,0,1,1151667,2383
random_tree_algorithms,random_tree,12,dphyp,DpHyp,9,0,1,419708,886
random_tree_algorithms,random_tree,14,dphyp,DpHyp,0,0,1,1540875,2964
random_tree_algorithms,random_tree,14,dphyp,DpHyp,1,0,1,4239875,9219
random_tree_algorithms,random_tree,14,dphyp,DpHyp,2,0,1,819417,1572
random_tree_algorithms,random_tree,14,dphyp,DpHyp,3,0,1,2855833,5409
random_tree_algorithms,random_tree,14,dphyp,DpHyp,4,0,1,2009167,4039
random_tree_algorithms,random_tree,14,dphyp,DpHyp,5,0,1,1431459,2815
random_tree_algorithms,random_tree,14,dphyp,DpHyp,6,0,1,1850208,3624
random_tree_algorithms,random_tree,14,dphyp,DpHyp,7,0,1,1401417,2641
random_tree_algorithms,random_tree,14,dphyp,DpHyp,8,0,1,2581208,5005
random_tree_algorithms,random_tree,14,dphyp,DpHyp,9,0,1,1185333,2419
random_tree_algorithms,random_tree,16,dphyp,DpHyp,0,0,1,3690167,7006
random_tree_algorithms,random_tree,16,dphyp,DpHyp,1,0,1,13761917,27702
random_tree_algorithms,random_tree,16,dphyp,DpHyp,2,0,1,1760458,3319
random_tree_algorithms,random_tree,16,dphyp,DpHyp,3,0,1,7720875,14569
random_tree_algorithms,random_tree,16,dphyp,DpHyp,4,0,1,6610042,13052
random_tree_algorithms,random_tree,16,dphyp,DpHyp,5,0,1,3893000,7642
random_tree_algorithms,random_tree,16,dphyp,DpHyp,6,0,1,3842750,7837
random_tree_algorithms,random_tree,16,dphyp,DpHyp,7,0,1,4171375,7589
random_tree_algorithms,random_tree,16,dphyp,DpHyp,8,0,1,8668333,17294
random_tree_algorithms,random_tree,16,dphyp,DpHyp,9,0,1,2699709,5360
random_tree_algorithms,random_tree,18,dphyp,DpHyp,0,0,1,8646834,16358
random_tree_algorithms,random_tree,18,dphyp,DpHyp,1,0,1,42624708,80869
random_tree_algorithms,random_tree,18,dphyp,DpHyp,2,0,1,6222959,11662
random_tree_algorithms,random_tree,18,dphyp,DpHyp,3,0,1,16758834,31073
random_tree_algorithms,random_tree,18,dphyp,DpHyp,4,0,1,22332292,40481
random_tree_algorithms,random_tree,18,dphyp,DpHyp,5,0,1,11584500,22298
random_tree_algorithms,random_tree,18,dphyp,DpHyp,6,0,1,10924541,20359
random_tree_algorithms,random_tree,18,dphyp,DpHyp,7,0,1,13325292,25766
random_tree_algorithms,random_tree,18,dphyp,DpHyp,8,0,1,23799167,43586
random_tree_algorithms,random_tree,18,dphyp,DpHyp,9,0,1,8198584,15153
adaptive_topologies,chain,10,adaptive,DpHyp,0,0,1,97458,165
adaptive_topologies,star,10,adaptive,DpHyp,0,0,1,1725208,2304
adaptive_topologies,chain,20,adaptive,DpHyp,0,0,1,815792,1330
